År,sysselsettingsrate,vekst_sysselsetting_bosted,vekst_sysselsetting_arbeidssted,arbeidsplassdekning,andel_privat_sysselsetting
2021,67.6,,,0.9052699778762214,0.6151370146673374
2022,68.0,0.00889196692123875,0.004080592696904551,0.9021161104001825,0.6173019431988043
2023,67.6,0.0051523550711607,0.0066693855733214995,0.899876161512346,0.6124251609040563
2024,67.5,0.0034095338198677,0.00413655443131165,0.9041343669250644,0.6087824351297405
2025,67.4,0.0014133027117746,0.0005773672055426,0.9011925042589438,0.6095928611266035
