utfall,utfall_label,naering_col,naering_label,beta,se,r,p,r2,n
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-424.5075,104.9627,-0.773,0.0019,0.598,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_industri,Industri,-748.6259,127.0233,-0.871,0.0001,0.759,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,49.322,140.1839,0.105,0.7316,0.011,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,-135.4609,127.6321,-0.305,0.3113,0.093,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-229.1094,142.7128,-0.436,0.1367,0.19,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-171.6491,190.0108,-0.263,0.3857,0.069,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-106.3029,38.6355,-0.638,0.0188,0.408,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_transport_og_lagring,Transport Og Lagring,-237.5116,104.8641,-0.564,0.0447,0.318,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_undervisning,Undervisning,-611.9576,300.467,-0.523,0.0665,0.274,13
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_varehandel,Varehandel,-194.6987,73.2835,-0.625,0.0223,0.391,13
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-57.1869,61.9173,-0.24,0.3713,0.057,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-113.8044,62.535,-0.437,0.0902,0.191,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,-0.2159,33.1912,-0.002,0.9949,0.0,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-104.451,59.5287,-0.425,0.1012,0.18,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,-188.9136,83.8111,-0.516,0.0407,0.266,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-197.1366,44.4376,-0.764,0.0006,0.584,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_industri,Industri,-226.7434,78.6574,-0.61,0.012,0.372,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,70.6646,45.0026,0.387,0.1387,0.15,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,-28.2834,52.654,-0.142,0.5996,0.02,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-56.5211,53.3875,-0.272,0.3077,0.074,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-104.8964,77.1872,-0.341,0.1956,0.117,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-26.4315,19.3523,-0.343,0.1935,0.118,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_transport_og_lagring,Transport Og Lagring,-85.9336,43.7626,-0.465,0.0697,0.216,16
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_undervisning,Undervisning,-117.8214,113.7168,-0.267,0.3177,0.071,16
